RM1,RM2,RT1,RT2,T,VM1,VM2,AM1,AM2
2705.06,9186.41,39040,10000,0.96,2815.32,-683.825,-7.14989,322.269
2733.21,9179.6,39030,10000,0.97,2815.24,-680.609,-7.20261,321.578
2761.36,9172.83,39020,10000,0.98,2815.17,-677.4,-7.25491,320.889
2789.51,9166.08,39010,10000,0.99,2815.1,-674.198,-7.3068,320.2
2817.66,9159.37,39000,10000,1,2815.02,-671.003,-7.35828,319.513
2845.81,9152.7,38990,10000,1.01,2814.95,-667.814,-7.40935,318.826
2873.96,9146.05,38980,10000,1.02,2814.88,-664.633,-7.46001,318.14
2902.11,9139.43,38970,10000,1.03,2814.8,-661.459,-7.51026,317.455
2930.25,9132.85,38960,10000,1.04,2814.73,-658.291,-7.56011,316.77
2958.4,9126.3,38950,10000,1.05,2814.65,-655.13,-7.60956,316.087
2986.55,9119.78,38940,10000,1.06,2814.57,-651.976,-7.6586,315.404
3014.69,9113.29,38930,10000,1.07,2814.5,-648.829,-7.70724,314.723
3042.84,9106.84,38920,10000,1.08,2814.42,-645.688,-7.75549,314.042
3070.98,9100.41,38910,10000,1.09,2814.34,-642.555,-7.80334,313.362
3099.12,9094.02,38900,10000,1.1,2814.26,-639.428,-7.85079,312.683
3127.26,9087.65,38890,10000,1.11,2814.18,-636.308,-7.89785,312.004
3155.4,9081.32,38880,10000,1.12,2814.1,-633.194,-7.94452,311.327
3183.55,9075.02,38870,10000,1.13,2814.02,-630.088,-7.99079,310.65
3211.68,9068.75,38860,10000,1.14,2813.94,-626.988,-8.03668,309.974
3239.82,9062.51,38850,10000,1.15,2813.86,-623.895,-8.08218,309.299
3267.96,9056.3,38840,10000,1.16,2813.78,-620.809,-8.12729,308.625
3296.1,9050.13,38830,10000,1.17,2813.7,-617.729,-8.17202,307.952
3324.23,9043.98,38820,10000,1.18,2813.62,-614.657,-8.21636,307.28
3352.37,9037.86,38810,10000,1.19,2813.53,-611.591,-8.26032,306.608
3380.5,9031.78,38800,10000,1.2,2813.45,-608.531,-8.30391,305.937
3408.64,9025.72,38790,10000,1.21,2813.37,-605.479,-8.34711,305.268
3436.77,9019.7,38780,10000,1.22,2813.28,-602.433,-8.38994,304.599
3464.9,9013.7,38770,10000,1.23,2813.2,-599.393,-8.43239,303.93
3493.03,9007.74,38760,10000,1.24,2813.11,-596.361,-8.47446,303.263
3521.16,9001.81,38750,10000,1.25,2813.03,-593.335,-8.51616,302.596
3549.29,8995.9,38740,10000,1.26,2812.94,-590.315,-8.5575,301.931
3577.42,8990.03,38730,10000,1.27,2812.86,-587.303,-8.59846,301.266
3605.55,8984.19,38720,10000,1.28,2812.77,-584.297,-8.63905,300.602
3633.68,8978.38,38710,10000,1.29,2812.68,-581.297,-8.67928,299.939
3661.8,8972.59,38700,10000,1.3,2812.6,-578.305,-8.71914,299.276
3689.93,8966.84,38690,10000,1.31,2812.51,-575.318,-8.75864,298.615
3718.05,8961.12,38680,10000,1.32,2812.42,-572.339,-8.79777,297.954
3746.18,8955.42,38670,10000,1.33,2812.33,-569.366,-8.83655,297.294
3774.3,8949.76,38660,10000,1.34,2812.25,-566.4,-8.87496,296.635
3802.42,8944.12,38650,10000,1.35,2812.16,-563.44,-8.91302,295.977
3830.54,8938.52,38640,10000,1.36,2812.07,-560.487,-8.95071,295.32
3858.66,8932.94,38630,10000,1.37,2811.98,-557.54,-8.98806,294.663
3886.78,8927.4,38620,10000,1.38,2811.89,-554.6,-9.02505,294.008
